Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Halfweg-Zwanenburg,HWZB,52.385935,4.747165,Oude Haarlemmerstraatweg,??,1165,Halfweg,Netherlands
Hamburg Hbf,HAMH,53.5526394,10.0067103,Bahnsteig Gleis 7 + 8,??,20099,Hamburg,Germany
Hamm (Westf.),HAMM,51.678078,7.807821,Willy-Brandt-Platz,1,59065,Hamm,Germany
Hannover Hbf,HANN,52.3770401,9.7416759,Niki-de-Saint-Phalle-Promenade,17,30159,Hannover,Germany
Hardenberg,HDB,52.57277679,6.628611088,Parallelweg,5-6,7772 SB,Hardenberg,Netherlands
Harderwijk,HD,52.33750153,5.619722366,Stationsplein,2,3844 KR,Harderwijk,Netherlands
Hardinxveld Blauwe Zoom,HBZM,51.82944,4.81556,Schapedrift,99,3371 JJ,Hardinxveld-Giessendam,Netherlands
Hardinxveld-Giessendam,GND,51.83055496,4.835833549,Spoorweg,30,3373 AP,Hardinxveld-Giessendam,Netherlands
Haren,HRN,53.17610931,6.617222309,Emdaborg,38,9751 SJ,Haren,Netherlands
Harlingen,HLG,53.1704205,5.4251932,Stationsweg,6B,8861 GA,Harlingen,Netherlands
Harlingen Haven,HLGH,53.174917,5.4112885,Hoge Willemskade,??,8861,Harlingen,Netherlands
